filename,epoch,Iter,local_R_theta
rank0_relu256_epoch1.log,0,8750,6.848725
rank0_relu256_epoch1.log,0,10000,6.764488
rank0_relu256_epoch1.log,0,11250,6.73001
rank0_relu256_epoch1.log,0,12500,6.671824
rank0_relu512_epoch1.log,0,625,10.168892
rank0_relu512_epoch1.log,0,1250,8.681755
rank0_relu512_epoch1.log,0,1875,8.008555
rank0_relu512_epoch1.log,0,2500,7.700228
rank0_relu512_epoch1.log,0,3125,7.481865
rank0_relu512_epoch1.log,0,3750,7.325374
rank0_relu512_epoch1.log,0,4375,7.221878
rank0_relu512_epoch1.log,0,5000,7.12419
rank0_relu512_epoch1.log,0,5625,7.085496
rank0_relu512_epoch1.log,0,6250,7.017081
rank0_sigmoid1024_epoch1.log,0,310,28.463256
rank0_sigmoid1024_epoch1.log,0,620,14.639714
rank0_sigmoid1024_epoch1.log,0,930,10.642254
rank0_sigmoid1024_epoch1.log,0,1240,9.104221
rank0_sigmoid1024_epoch1.log,0,1550,8.444325
rank0_sigmoid1024_epoch1.log,0,1860,8.157506
rank0_sigmoid1024_epoch1.log,0,2170,8.000521
rank0_sigmoid1024_epoch1.log,0,2480,7.89466
rank0_sigmoid1024_epoch1.log,0,2790,7.815837
rank0_sigmoid1024_epoch1.log,0,3100,7.746891
rank0_sigmoid1024_epoch5.log,0,625,14.52914
rank0_sigmoid1024_epoch5.log,0,1250,9.076748
rank0_sigmoid1024_epoch5.log,0,1875,8.147234
rank0_sigmoid1024_epoch5.log,0,2500,7.88989
rank0_sigmoid1024_epoch5.log,0,3125,7.741416
rank0_sigmoid1024_epoch5.log,1,3750,8.923783
rank0_sigmoid1024_epoch5.log,1,4375,8.123553
rank0_sigmoid1024_epoch5.log,1,5000,7.91252
rank0_sigmoid1024_epoch5.log,1,5625,7.790678
rank0_sigmoid1024_epoch5.log,1,6250,7.702636
rank0_sigmoid1024_epoch5.log,2,6875,7.630004
rank0_sigmoid1024_epoch5.log,2,7500,7.549841
rank0_sigmoid1024_epoch5.log,2,8125,7.475022
rank0_sigmoid1024_epoch5.log,2,8750,7.414382
rank0_sigmoid1024_epoch5.log,2,9375,7.362146
rank0_sigmoid1024_epoch5.log,3,10000,7.318363
rank0_sigmoid1024_epoch5.log,3,10625,7.279591
rank0_sigmoid1024_epoch5.log,3,11250,7.247048
rank0_sigmoid1024_epoch5.log,3,11875,7.217494
rank0_sigmoid1024_epoch5.log,3,12500,7.190687
