Feature,Mean,Std
trip_distance,3.1509479526538944,3.532993825520302
extra,1.0586911854192838,1.2339835025127135
trip_duration_minutes,15.186570691183782,10.858625040220241
demand_type_high,0.3239885135311977,0.46799577583388946
demand_type_low,0.15701595542818259,0.3638158865388335
demand_type_normal,0.5189955310406198,0.49963914167067536
passenger_count_single,0.7399391161536851,0.43866764096812116
passenger_count_double,0.15182357097989949,0.35884986684695513
passenger_count_other,0.10823731286641541,0.3106799582241373
RatecodeID_1,0.9774409155150754,0.14849303421189491
RatecodeID_other,0.2600608838463149,0.43866764096812116
payment_type_1,0.8063441393163735,0.3951624123885711
payment_type_2,0.18947479912583753,0.39188539450401216
payment_type_other,0.004181061557788945,0.06452582416922831
PULocationID_rank,9.736166591420645,0.5415120695926522
DOLocationID_rank,9.450747389290202,1.0127952581697184
