iter,Rtheta
250,214.6713910799666
500,204.290013321069
750,190.23824301688418
1000,169.6161341089239
1250,131.203216812925
1500,82.63577933882151
1750,40.52543231289668
2000,21.168340605666742
2250,11.753064363334152
2500,7.836296449153444
2750,5.970894618467479
3000,5.237094393215761
3250,4.870894510318864
3500,4.6940970886787365
3750,4.580261308000258
4000,4.494655372852243
4250,4.430586044894979
4500,4.388265234435991
4750,4.346630140445035
5000,4.308483516315306
5250,4.271360002296397
5500,4.239227737208126
5750,4.212968835352989
6000,4.185119956415843
6250,4.158777618406
6500,4.145281773110482
6750,4.12079101397507
7000,4.103025680232621
7250,4.08386974002339
7500,4.067998059218523
7750,4.051825860876188
8000,4.042542480402212
