Feature,Mean,Std
trip_distance,3.0570786153723186,3.3970581021663313
extra,1.0548022481723756,1.3097192012023988
trip_duration_minutes,15.851554036026208,11.190359655457788
demand_type_high,0.31842428693388813,0.46586533658026985
demand_type_low,0.15376720619869128,0.360725662003207
demand_type_normal,0.5278085068674206,0.49922637715155654
passenger_count_single,0.7363123625154788,0.4406321506976412
passenger_count_double,0.15614418976947197,0.36299219606203065
passenger_count_other,0.10754344771504924,0.30980310803314354
RatecodeID_1,0.9803667180598624,0.13873657944678258
RatecodeID_other,0.26368763748452123,0.4406321506976412
payment_type_1,0.8036277958805902,0.397253501396909
payment_type_2,0.18923546153676854,0.3916957739853035
payment_type_other,0.007136742582641301,0.08417729917250746
PULocationID_rank,9.741765987589181,0.5369501621980807
DOLocationID_rank,9.464375943350875,0.9978640989555806
